case,design,seed,mean,std,tau,neff,sem,window_in_tau,half_shift_percent,trend_percent,stationary,elapsed_seconds
nominal,baseline,6,11.075515394770651,1.537094270460318,19.078100030828693,10.46722807281957,0.4750995949120198,20.88198883700345,-16.20559678702694,-25.851991223163868,0,153.11519319424406
nominal,baseline,7,10.631212024418835,0.8135137787449601,5.956769450276073,33.52401429763157,0.14050342290099435,66.87998842334518,-2.4064452877650906,-4.3127033338611085,1,153.42759402515367
nominal,baseline,8,11.770902118353744,1.2172186380829324,30.522394907585873,6.5425673451698545,0.4758767564733318,13.052339866554396,11.705540785680725,17.8244664766403,1,153.07049151323736
nominal,baseline,9,12.086345368656335,1.4472032660506626,30.576662835821413,6.530955496713067,0.5662929719193831,13.02917437439499,11.793078989387729,16.596958254630554,1,153.44988354016095
nominal,baseline,10,10.917970104034627,1.186665019988942,22.14531740680766,9.017474012694084,0.39517156863349884,17.98974765439722,-7.35068508768039,-15.256649764706037,1,153.16271273978055
nominal,baseline,11,10.529406095355293,1.0135961230887596,12.926512536495393,15.448468692151271,0.25788270809899816,30.819501451008552,4.150958753749932,-1.6524422302288206,1,153.49797672219574
nominal,baseline,12,11.182088874230253,1.1719810647928692,14.229980804350943,14.033386760275286,0.31285229684762267,27.996430729772253,-6.847231703851256,-7.231778122071539,1,152.99566463008523
nominal,baseline,13,10.776524180121116,1.023957570873527,12.944859381733036,15.426573462864082,0.26070371843095536,30.775820742956917,6.630824372119809,7.863963009974484,1,153.03845021221787
nominal,baseline,14,10.880808231264304,1.3468539268953499,29.773063941804757,6.707231227833284,0.5200544986524508,13.380842249010762,-11.341400490621261,-12.13337594193478,1,153.03269429923967
nominal,baseline,15,10.61372873947264,1.0190823032743344,12.050569594500402,16.571401264707525,0.25033965143075343,33.059737861421524,-1.9862479105457742,5.085776447499722,1,152.9832000238821
nominal,baseline,16,11.646873429856601,1.6081787463103534,28.19877654728924,7.081683983128224,0.6043187189418658,14.12787080343375,4.5929524692618635,10.504590617266118,1,153.02290089800954
nominal,baseline,17,11.710439086732391,0.806113395816147,6.057527240245265,32.966393100473205,0.14039783852881266,65.76754112274855,-0.8285057292233081,1.5236341620074152,1,153.08620166918263
nominal,baseline,18,11.183809143761033,0.9118326268039529,12.231985886557897,16.32562578724038,0.22567331535626542,32.56941886376778,-7.761548522434752,-10.478045152474621,1,153.18274950841442
nominal,baseline,19,11.518264736672313,0.9985023167056979,7.04567650136723,28.342888604096252,0.18755429843307295,56.54370759112936,2.438324486083197,-0.49485669148379735,1,153.02521823113784
nominal,baseline,20,11.294336030165036,1.221163600615229,14.051370702123572,14.21176826461281,0.3239289714912852,28.352299595568415,3.4377642393631636,2.3399322038128365,1,153.75283779064193
nominal,baseline,21,11.380280814555089,0.9506518245440022,9.837498828015912,20.299349225846434,0.21099901528433898,40.49694732775379,1.356434536523096,1.6310978926343584,1,153.1069396501407
nominal,baseline,22,11.064133164889329,0.8723487629248454,14.93492348283786,13.370997477705522,0.2385658336784461,26.67497241166315,1.467205009517048,8.950786816584301,1,152.98867325065657
nominal,baseline,23,10.813351391004803,1.0103286970130172,10.022540636304807,19.92457117064632,0.22634358860507722,39.74926980409642,0.2605321507223754,8.134119391840155,1,152.98202475113794
nominal,candidate,0,9.63743807330431,0.9077217137730481,10.499758858295385,19.01899147531185,0.20814164496761176,37.942649660020635,0.041964938461714445,0.87191502175253,1,157.27789451694116
nominal,candidate,1,10.44554252777235,1.0214040630429517,10.353441375413407,19.28777272965206,0.232571525252612,38.4788648942432,-6.44979163460647,-3.8924580083608045,1,153.25795973604545
nominal,candidate,2,9.34800664971736,1.0192129878765144,10.371224606769966,19.254700557578932,0.2322718423703234,38.41288632539556,-4.341582423049797,-7.562238285812893,1,153.322287179064
nominal,candidate,3,9.627981301578782,0.9949495395148565,19.40070891115373,10.293171509003095,0.31011762601622683,20.53474817334953,-3.5470235020071534,0.09062944883992705,1,153.333113161847
nominal,candidate,4,9.657374818622245,1.1144193952510337,30.255574994673335,6.600265380972181,0.4337784404153699,13.167446724947009,-12.122601448919873,-25.55255498020947,0,153.05341577576473
nominal,candidate,5,9.803684324595556,1.5014501360596952,23.17217732101232,8.617870537252818,0.5114591244485569,17.192543728454243,5.344241094522708,20.52230691705139,0,153.12839614739642
nominal,candidate,6,9.643284564251537,1.1630293403907392,14.695119316747789,13.589193793830653,0.3154959764400412,27.11027132804311,-10.492152702573552,-13.343160954595234,1,153.1349188699387
nominal,candidate,7,9.642401886941244,1.204685103912076,17.34839185503343,11.510855062961408,0.35507471527034945,22.96401160430396,-7.216250292748264,-0.9806414248991095,1,153.13902655709535
nominal,candidate,8,10.002150029157765,1.1229094334146297,13.283677166135709,15.033098269493873,0.2896146203036103,29.990842662950183,3.8595809982876856,11.417781573915203,1,153.18954148702323
nominal,candidate,9,9.591939951896311,1.0684203221777602,20.289239186960327,9.84240081052875,0.34055841558576394,19.635466278648835,3.577506904431909,-2.0870663294231577,1,153.0536645031534
nominal,candidate,10,10.042356957045262,1.1717102925499532,21.96035721123613,9.09342331264881,0.3885586133148625,18.14126555606128,-3.8461553133093043,-16.694077995591428,1,153.0914181903936
nominal,candidate,11,9.639556777217745,0.8449930281848738,7.084915411965243,28.18591508961401,0.15916114547296178,56.23054739682394,1.7306109234035885,6.084558971350512,1,153.04073865478858
nominal,candidate,12,9.615860754684778,0.76731355890259,7.197813917674795,27.743815900600563,0.1456765928863663,55.3485650548322,-1.5180103007595482,-0.13448380380662422,1,153.0247018742375
nominal,candidate,13,9.865472025498176,0.8763566534376278,9.479457709220668,21.066059931308818,0.19093662009882592,42.02652557724767,-0.2017079420033421,2.139645721414416,1,153.61988225625828
nominal,candidate,14,10.156968182857295,1.1289134969860422,22.83347488603554,8.745704506889535,0.38173612929105366,17.447570895950047,5.610493384806523,11.33854319297262,1,153.02371270395815
nominal,candidate,15,10.014576421873198,1.078404406676321,16.470651333625085,12.124282165518856,0.3097088647835022,24.18779098684965,2.051775731420631,-8.581386425316328,1,152.9949288861826
nominal,candidate,16,9.452588421945523,0.8508911546242901,13.439667955133704,14.858612942328705,0.22074194969973612,29.642746621788593,-0.9769323282175498,2.614029639216152,1,153.7003319566138
nominal,candidate,17,10.256734495885873,1.1342435435152802,14.513742236323425,13.75901686602752,0.3057824910376835,27.449066228967183,4.980392783919198,1.08836926600988,1,153.02225041389465
nominal,candidate,18,9.69979727322361,1.074733782111381,13.717055614185057,14.558140597770993,0.28167476820602694,29.04330805971356,6.180981744335416,17.07271874289539,1,152.99835526384413
nominal,candidate,19,10.148836551150268,1.1385657199635044,18.861224065172657,10.587585595119856,0.349912644657037,21.122100585752897,0.13529034335685675,8.46060491255063,1,153.0252835052088
nominal,candidate,20,9.375053593304628,1.2079224491898202,11.40353188652326,17.511664474297664,0.2886525104281343,34.93555118180687,-7.075525888649891,-11.718759779564802,1,153.079352744855
nominal,candidate,21,10.151343027074061,1.007531523815116,11.025040441550274,18.112842785243345,0.23673656103264382,36.13489437858071,-5.4368988660269055,-9.848385914144663,1,153.19020097889006
nominal,candidate,22,9.367226580896665,0.8603883839342976,9.464477045774688,21.09940393462115,0.18730934496897925,42.093046446011115,-2.0341851742267005,-2.374422023850478,1,153.1166394581087
nominal,candidate,23,9.606522180165241,0.911644448408324,12.38387985675232,16.125384494090216,0.22702331043766147,32.169939993222584,-5.68816009534806,-12.594536010982049,1,153.0158406458795
perp12,baseline,0,18.037180240554942,2.6913994932563754,21.48026622044156,9.296664304314426,0.8827029778524317,18.546728787554592,15.54206455659608,26.082945663607067,0,107.46058211568743
perp12,baseline,1,19.166305752100563,2.886885205588084,9.608452453239586,20.783245292681954,0.6332465512028089,41.46231391723016,0.8441805688599678,10.357115950718061,1,91.89382004365325
perp12,baseline,2,18.972686547785013,3.506642834597655,15.394406040039268,12.971908347705282,0.9736202493350461,25.878794598429586,-3.3349287652403414,-4.1905440074758085,1,91.7899252474308
perp12,baseline,3,18.73875414451281,3.2242226493439796,12.85627530718447,15.532867758918835,0.8180864548192244,30.987876531577427,0.7411928722659449,-12.98667419373249,1,91.90772725176066
perp12,candidate,0,15.278700540959477,2.663598683378794,15.410679947292454,12.958209819537194,0.7399396293033002,25.851466206395003,10.296402091156878,11.374841306074488,1,95.85408295411617
perp12,candidate,1,14.732699173534295,1.7949017905666904,8.593127984881745,23.238897939153425,0.37233419761305453,46.36131017435119,1.2258444241905349,6.548834590134369,1,92.0511461137794
perp12,candidate,2,13.656409746521065,1.8657268841873407,12.653450981964031,15.781846747056663,0.46964441130213935,31.48458649287495,-5.47204198811575,-8.760294817869388,1,92.00244252104312
perp12,candidate,3,13.852925106657704,2.3347869114837114,17.247950499310214,11.577887136604216,0.6861713711597508,23.09773975122044,3.9059168794023935,16.42680169269976,1,91.92964647011831
perp20,baseline,0,9.435338233816802,1.0718662368909406,24.101692714932113,8.285510340733447,0.37237537990563085,16.52948930131284,-9.587346728294929,-17.329574328707178,1,256.5450541889295
perp20,baseline,1,9.994487298607197,0.9421050526350851,21.001280206749556,9.508697672371921,0.3055194146790521,18.969732699769548,-1.1464739764254024,-9.29227425681339,1,241.67937427619472
perp20,baseline,2,10.755165977196118,1.1885755758592516,38.06063169262093,5.246755383134278,0.5188972789164774,10.46721124053856,13.38718888116543,17.772496852467924,1,241.63059416925535
perp20,baseline,3,10.216672240224815,0.7858543845958462,10.4223008358054,19.16033967592898,0.17953142523469748,38.2246375489711,2.2679489665596693,3.876468301605108,1,241.66174855502322
perp20,baseline,4,9.802659127356012,0.9049526262110639,39.29437632730048,5.082020453904199,0.40142798032423044,10.138567121072036,12.74595222086851,22.418655500845187,0,243.44556666677818
perp20,baseline,5,9.75257434881858,0.8629859509827039,18.888530977654558,10.572279255331834,0.26541130210569913,21.091564629684562,2.1637956686294206,2.6862104513528284,1,241.72003087308258
perp20,baseline,6,10.417163274408846,1.1709245976612448,36.23520089428415,5.5110726390439435,0.49878210264625306,10.994520853832027,3.8408102835628766,7.364443120851166,1,242.17309977626428
perp20,baseline,7,10.312863369590593,0.6819697686780477,17.050035595956977,11.712281953599147,0.19927112088630694,23.365855726979753,1.7748603117247845,6.423417177268955,1,241.60811585234478
perp20,baseline,8,9.216886786362483,0.743454539941608,10.865590663100582,18.378644144667742,0.17341940164043637,36.665164759788276,-1.0949307284425402,-0.543677815682746,1,242.28462017700076
perp20,baseline,9,10.45256473299515,1.0405006603005884,13.686543533799975,14.59059577208725,0.2723992122663565,29.108055725768047,0.6449920118718935,1.441993656623681,1,242.27283234195784
perp20,baseline,10,10.181770874456188,1.1251857706594663,13.49255727096605,14.800368841010087,0.29247446958913226,29.526550369533908,-3.9111021907465067,-7.472096209927626,1,242.12587318290025
perp20,baseline,11,10.410894366020742,0.8409728283143264,13.670116762334757,14.60812864224896,0.22003140487980477,29.143033582030508,7.388100770164394,13.313577329345128,1,242.24686277704313
perp20,baseline,12,10.250293150892594,1.1502959703822575,18.158529389271358,10.997301595179625,0.34686983253948994,21.93947887158642,-10.61550915733637,-12.41850727532397,1,242.64228056604043
perp20,baseline,13,10.43638831666144,0.8606722716042547,11.174622979969769,17.870385835539864,0.203596752660969,35.6511958022299,0.8027606036597701,-0.3762814505971675,1,240.88254644582048
perp20,baseline,14,9.35388369482243,1.0215247829691674,40.05103019664975,4.986009679108189,0.45748024897082995,9.947026828496538,14.556057238258,21.25239073548434,0,242.51354741770774
perp20,baseline,15,9.78474961479723,1.2621029712431735,41.62362689463237,4.797631516452544,0.5762107345825745,9.57121475462713,-16.823605563231077,-27.80738113885233,0,242.21043965499848
perp20,candidate,0,9.720493627369105,1.161022795023532,13.034375186364969,15.320628826738643,0.2966213799823598,30.564462521513683,-6.617630572408216,-6.306577160517036,1,246.62849612394348
perp20,candidate,1,9.12810481122415,1.2467337386653718,14.505740318747819,13.766606862571237,0.3360162318180246,27.464208176959158,-0.22269381812616645,-10.658209356367209,1,241.80254581803456
perp20,candidate,2,9.468725743542398,1.2924545648175765,17.879007279226283,11.169234460281054,0.3867261868603337,22.28248278291659,2.8828078226993354,15.858581495840733,1,242.12023787526414
perp20,candidate,3,10.286192144892606,1.8156429630458184,12.347372249159902,16.17306259089556,0.4514756346086382,32.26505719887937,-7.489827314247869,-3.408525756570187,1,241.91363199800253
perp20,candidate,4,9.544328916863297,1.4731252104121675,16.056000319444223,12.437395381520671,0.41771006650938514,24.81244792904876,-8.299522124492642,-11.14076850511348,1,241.959038419649
perp20,candidate,5,9.600068283637953,1.5116533001650592,27.705485727973933,7.207771997915931,0.5630561110810101,14.379414812884916,15.27216786633124,23.270762628617902,0,242.3278517862782
perp20,candidate,6,9.855562284251727,1.0813154279450707,21.328488988419473,9.362820982169735,0.35338575540146705,18.678710530844885,4.4677883053240945,3.8689571341435904,1,241.1594125800766
perp20,candidate,7,9.868446806004316,1.3882516667019391,15.212103220183998,13.127364528646329,0.383159352757594,26.18892773133453,-3.4863891339348414,-11.658864469310892,1,241.25203733006492
perp20,candidate,8,9.53580150597631,1.197464746126061,12.377699558431116,16.133436045692928,0.2981256206661956,32.18600273777336,-2.414394402489505,-1.9442400653456557,1,242.240340879187
perp20,candidate,9,9.104332858563861,1.2142863856809722,19.57881283874473,10.199536910816763,0.38021644670617255,20.34794832333369,2.709453820748828,-5.987842714806271,1,241.35322132706642
perp20,candidate,10,9.371923687622006,1.1124065452450258,18.69583690426003,10.681245522271729,0.34037102815662557,21.308950966737587,-12.490588524359865,-16.08583192306473,1,242.15939533384517
perp20,candidate,11,9.822963397710474,1.5820386171706247,17.750028882912936,11.250394325329026,0.4716645193525698,22.444395696646378,3.8900289377517896,-9.31632283374388,1,241.94183369306847
perp20,candidate,12,9.647956820136452,0.7937348267431908,14.066291627108251,14.196693024187162,0.21065988387780246,28.322224679832033,-3.7397470789906784,-6.993222318438339,1,241.61056353896856
perp20,candidate,13,9.488091066680514,1.5965512804378441,20.570489423791496,9.70783048009476,0.5124149362864497,19.36700015577802,-9.260776934376484,-23.871969967982885,0,241.48087916197255
