case,ky,gamma_reference,gamma_gkx,gamma_relative_difference,omega_reference,omega_gkx,omega_relative_difference,gamma_half_time_shift,omega_half_time_shift,converged
cyclone_miller_kinetic_electrons,0.20000000298023224,0.15842125041884667,0.14127022045105492,-0.108262180246946,0.1309747206081885,0.13925978659816177,0.06325698540528361,0.044545692392933815,-0.3718458484056491,True
cyclone_miller_kinetic_electrons,0.30000001192092896,0.2300271347905538,0.23996566070643138,0.04320588492712775,0.23621711648584154,0.23775058221240883,0.006491763803488828,-0.1917133940842451,-0.06415147922257443,False
cyclone_miller_kinetic_electrons,0.4000000059604645,0.26461832086492026,0.25897515827881035,-0.0213256684860856,0.35196085977628366,0.34730619610506624,-0.01322494687101303,-0.08567662533783661,0.1274318029691968,False
cyclone_miller_kinetic_electrons,0.5,0.2539012768531438,0.258072618694631,0.016428991193691032,0.4677988541607531,0.47544302196882415,0.016340715117365835,0.16169241628782985,0.0832917429582354,False
cyclone_miller_kinetic_electrons,0.6000000238418579,0.21654096315181035,0.21985068466543545,0.015284505367719992,0.5674733998982803,0.5535264568726682,-0.024577263054289505,0.3689430567885938,-0.043604857187325576,False
cyclone_miller_kinetic_electrons,0.699999988079071,0.13835711910509393,0.12207490175009651,-0.11768254109591354,0.6575232463778916,0.6748006857932443,0.026276545370112984,0.34783029085290107,-0.2461143408849717,False
kbm_miller,0.10000000149011612,0.20517870411276817,0.2014437304631566,-0.01820351515408141,0.6012624185532331,0.6057691278723244,0.0074954116206620135,-0.15587026642951415,0.040279728940097785,False
kbm_miller,0.20000000298023224,0.33836138620972633,0.33526833915188525,-0.009141253062262605,0.8344574458897114,0.8381527193506945,0.004428354590380731,0.007660830078095474,-0.00037000435104217016,True
kbm_miller,0.30000001192092896,0.31351426243782043,0.3106974809891848,-0.008984540054838092,1.0764188542962074,1.080701167986337,0.003978296806153068,0.023766535834644227,0.0007689421939537898,True
kbm_miller,0.4000000059604645,0.24303684756159782,0.23980093126070762,-0.013314509027566538,1.3384138904511929,1.342674223761904,0.0031831209621374914,-0.034966537544648346,-0.014923338434477917,True
kbm_miller,0.5,0.16919438261538744,0.17163031158853212,0.014397221323133593,1.5988347865641117,1.6093627796256422,0.006584791092865275,-0.056863327939569254,0.0233536679196974,False
w7x_itg,0.10000000149011612,0.005148701102594363,0.007549606988114625,0.46631292780046546,-0.13228569493481987,-0.14424169040443052,-0.09038010856352714,-4.081431724468666,0.41889638754238057,False
w7x_itg,0.20000000298023224,0.01370645127509726,0.026112145564773835,0.9050989231775856,-0.047198907670303526,0.03331196282335932,1.7057782577523175,-2.2007401776750637,-7.905461822751335,False
w7x_itg,0.30000001192092896,0.046523909366346504,0.045073221596025066,-0.03118155352978153,0.06435905397891432,0.06793861239735703,0.055618567973597974,-0.6322246533633334,-0.5116893688230695,False
w7x_itg,0.4000000059604645,0.058345507242177665,0.05812421491543154,-0.0037927912054581815,0.05625087353918287,0.06492040943360661,0.15412268910605922,-0.3364676221086163,-0.19837466805870851,False
w7x_itg,0.5,0.07218779248800891,0.07305934524635402,0.012073409205439825,0.05966325263269463,0.06231673543682688,0.04447432359190846,-0.2604626374376645,-0.1765638300705866,False
w7x_itg,0.6000000238418579,0.07903518597459236,0.07754277605012766,-0.018882854592693288,0.06361288422642396,0.06777561284386335,0.06543845115751336,-0.023469326994504523,-0.22358301474196138,True
w7x_itg,0.699999988079071,0.09832014770884263,0.09757125693862684,-0.007616859694245993,0.06986171904711695,0.07324172851654391,0.04838142426966868,-0.004547350828831855,-0.0847506117447599,True
w7x_itg,0.800000011920929,0.1211387846640676,0.1173090636483613,-0.03161432588519508,0.08493447852762122,0.08614448691378086,0.014246374465772958,0.0330198524248609,0.01591071363779382,True
w7x_itg,0.9000000357627869,0.148156659732088,0.14788354703858944,-0.0018434047716277245,0.11427744857051916,0.11405681773667116,-0.001930659431128754,0.00035504404911465846,0.004893920698170478,True
w7x_itg,1.0,0.17473897024204857,0.17474233549172408,1.9258724432484165e-05,0.14890183386398337,0.1488925793104639,-6.215204527245978e-05,-0.00014933120948530012,0.0002429880418011196,True
w7x_itg,1.100000023841858,0.19886813299697742,0.19886689548888373,-6.2227571358156334e-06,0.18907709594009914,0.18907661956158867,-2.519493480178791e-06,2.5084559776470622e-05,3.6760777140994264e-05,True
w7x_itg,1.2000000476837158,0.21817634999752045,0.2181698079331918,-2.998521301106255e-05,0.23435690389042013,0.23435668853341804,-9.189274927147224e-07,2.634901601112256e-06,-2.7831932775330763e-06,True
w7x_itg,1.3000000715255737,0.23190867996703812,0.23191696030773287,3.570517798612151e-05,0.28381930038942926,0.2838199069413828,2.1371060837662336e-06,-3.765722959283118e-07,-4.5520222706162353e-07,True
w7x_itg,1.399999976158142,0.24027406454783434,0.24027633565868403,9.452168106294032e-06,0.33632094243116545,0.3363203709149828,-1.6993178555150816e-06,-3.900707279981486e-08,1.5013090772113322e-07,True
w7x_itg,1.5,0.2441827952861786,0.24418039129091945,-9.845064048511652e-06,0.3904142205478155,0.3904133707226289,-2.1767270296103787e-06,4.408109244023446e-08,-9.586018946198022e-09,True
w7x_itg,1.600000023841858,0.24464577636872117,0.24465396003362977,3.345107784023716e-05,0.44419927572646334,0.4441982800901263,-2.241418190999842e-06,-1.8610905182979273e-08,2.018119965965097e-09,True
